[2025-06-20 06:19:08.563] sendCommand error: FetchError: request to http://192.168.127.145:8080/requests/status.json?command=in_play&input=%2FVolumes%2FS%2FSRC.mp4 failed, reason: connect ETIMEDOUT 192.168.127.145:8080
[2025-06-20 06:19:11.264] sendCommand error: FetchError: request to http://192.168.127.145:8080/requests/status.json?command=pl_stop failed, reason: connect ETIMEDOUT 192.168.127.145:8080
[2025-06-20 06:44:20.097] sendCommand error: FetchError: request to http://192.168.127.145:8080/requests/status.json?command=in_play&input=%2FVolumes%2FS%2FSRC.mp4 failed, reason: connect ETIMEDOUT 192.168.127.145:8080
[2025-06-20 06:44:23.389] sendCommand error: FetchError: request to http://192.168.127.145:8080/requests/status.json?command=pl_stop failed, reason: connect ETIMEDOUT 192.168.127.145:8080
[2025-06-20 06:57:27.192] getVLCStatus error: FetchError: request to http://192.168.127.156:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.156:8080
[2025-07-31 07:59:18.095] getVLCStatus error: FetchError: request to http://192.168.127.185:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.185:8080
[2025-07-31 07:59:18.198] getVLCStatus error: FetchError: request to http://192.168.127.177:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-07-31 07:59:18.200] sendCommand error: FetchError: request to http://192.168.127.185:8080/requests/status.json?command=in_play&input=%2FVolumes%2FDATA%2FPlayouts%2F1.mp4 failed, reason: connect ECONNREFUSED 192.168.127.185:8080
[2025-07-31 07:59:18.302] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=in_play&input=%2FVolumes%2FDATA%2FPlayouts%2F1.mp4 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-07-31 07:59:21.712] sendCommand error: FetchError: request to http://192.168.127.185:8080/requests/status.json?command=pl_stop failed, reason: connect ECONNREFUSED 192.168.127.185:8080
[2025-07-31 07:59:21.815] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_stop failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-07-31 08:48:38.410] getVLCStatus error: FetchError: request to http://192.168.127.185:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.185:8080
[2025-07-31 08:48:38.442] sendCommand error: FetchError: request to http://192.168.127.185:8080/requests/status.json?command=in_play&input=%2FVolumes%2FDATA%2FPlayouts%2F1.mp4 failed, reason: connect ECONNREFUSED 192.168.127.185:8080
[2025-08-01 07:05:48.554] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2FPlayouts%2F1.mp4 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-01 07:05:48.881] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-01 07:05:48.907] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-01 07:05:48.932] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-01 07:05:49.962] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-01 07:05:49.965] getVLCStatus error: FetchError: request to http://192.168.127.177:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-03 06:55:27.319] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-03 06:55:27.449] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FChandigarh%20Drama%20Final%20Mix%20Vedio.mp4 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-03 06:55:27.583] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-03 06:55:27.712] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-03 06:55:27.843] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-03 06:55:28.973] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-04 02:22:25.942] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2F03_SWAMI%20sings%2FVideo%20Bhajans%2FSathyam%20Jnanam%201%20Mastered%20SKH.mp4 failed, reason: connect ETIMEDOUT 192.168.127.141:8080
[2025-08-04 02:23:41.280] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ETIMEDOUT 192.168.127.141:8080
[2025-08-04 02:23:41.283] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-04 02:46:15.107] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2FPLAYOUT%20FOR%20MANDIR%2FHaryana%2FKRISHYE%20VACHANAM%20TAVA%20VIDEO%20SOFIA%20CONVENT%20SCHOOL%20(4).mp4 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49367)
[2025-08-04 02:46:15.435] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49369)
[2025-08-04 02:46:15.461] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49371)
[2025-08-04 02:46:15.488] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49373)
[2025-08-04 02:46:16.516] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49375)
[2025-08-04 02:46:16.517] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49377)
[2025-08-04 06:25:15.589] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2FPLAYOUT%20FOR%20MANDIR%2FHaryana%2FKRISHYE%20VACHANAM%20TAVA%20VIDEO%20SOFIA%20CONVENT%20SCHOOL%20(4).mp4 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49262)
[2025-08-04 06:25:15.920] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49264)
[2025-08-04 06:25:15.947] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49266)
[2025-08-04 06:25:15.973] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49268)
[2025-08-04 06:25:17.006] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49270)
[2025-08-04 06:25:17.008] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49272)
[2025-08-04 11:02:10.283] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2FPLAYOUT%20FOR%20MANDIR%2FHaryana%2FKRISHYE%20VACHANAM%20TAVA%20VIDEO%20SOFIA%20CONVENT%20SCHOOL%20(4).mp4 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49293)
[2025-08-04 11:02:10.612] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49295)
[2025-08-04 11:02:10.644] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49297)
[2025-08-04 11:02:10.672] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49299)
[2025-08-04 11:02:11.702] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49301)
[2025-08-04 11:02:11.703] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49303)
[2025-08-04 11:08:49.119] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2FPLAYOUT%20FOR%20MANDIR%2FHaryana%2FKRISHYE%20VACHANAM%20TAVA%20VIDEO%20SOFIA%20CONVENT%20SCHOOL%20(4).mp4 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49320)
[2025-08-04 11:08:49.445] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49322)
[2025-08-04 11:08:49.469] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49324)
[2025-08-04 11:08:49.494] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49326)
[2025-08-04 11:08:50.527] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49328)
[2025-08-04 11:08:50.529] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49330)
[2025-08-04 11:11:41.478] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2FPLAYOUT%20FOR%20MANDIR%2FHaryana%2FKRISHYE%20VACHANAM%20TAVA%20VIDEO%20SOFIA%20CONVENT%20SCHOOL%20(4).mp4 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49342)
[2025-08-04 11:11:41.816] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49344)
[2025-08-04 11:11:41.841] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49346)
[2025-08-04 11:11:41.869] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49348)
[2025-08-04 11:11:42.900] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49350)
[2025-08-04 11:11:42.902] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect EHOSTDOWN 192.168.127.141:8080 - Local (192.168.127.177:49352)
[2025-08-08 12:05:37.995] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2F03_SWAMI%20sings%2FVideo%20Bhajans%2FSwami%27s%20Bhajan%20for%20GAB%202024%20-%20Narayan%20Bhaja%20Narayan%20Narayan.mp4 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-08 12:05:38.323] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-08 12:05:38.349] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-08 12:05:38.376] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-08 12:05:39.405] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-08 12:05:39.431] getVLCStatus error: FetchError: request to http://192.168.127.177:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-10 02:14:54.387] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FTelangana%20Bal%20Vikas%202025%2FHome%20Screen%20Final.png failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-10 02:14:55.719] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-10 02:14:56.750] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-10 02:14:57.782] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-10 02:14:59.812] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-10 02:15:00.816] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-10 02:50:42.853] getVLCStatus error: FetchError: request to http://192.168.127.177:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-10 02:50:42.879] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FTelangana%20Bal%20Vikas%202025%2FSwami%20Narrations%20for%20Songs.mp4 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-10 02:50:42.905] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-10 02:50:42.931] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-10 02:50:42.956] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-10 02:50:43.984] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-10 02:50:44.312] getVLCStatus error: FetchError: request to http://192.168.127.177:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-15 10:52:23.547] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2FPLAYOUT%20FOR%20MANDIR%2FIndependence%20Day%202025%2FRamanna%20Ramudu.wav failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-15 10:52:23.875] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-15 10:52:23.898] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-15 10:52:23.928] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-15 10:52:24.957] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-15 10:52:24.959] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 02:33:07.555] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FJanmashtami_Discourse%20Final%20-%202025.mp4 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 02:33:08.885] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 02:33:09.912] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 02:33:10.938] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 02:33:12.967] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 02:33:13.973] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 03:49:07.687] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FJanmashtami_Discourse%20Final%20-%202025.mp4 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 03:49:08.013] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 03:49:08.039] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 03:49:08.065] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 03:49:09.092] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 03:49:09.117] getVLCStatus error: FetchError: request to http://192.168.127.177:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 11:03:16.644] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FSai%20Patham%20Lo%20Kanthi%20Kiranalu.mp4 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 11:03:16.971] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 11:03:16.998] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 11:03:17.023] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 11:03:18.055] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
